Datum;Kurs
2014-06-19;33,49
2014-06-20;33,63
2014-06-23;33,51
2014-06-24;33,62
2014-06-25;33,28
2014-06-26;33,35
2014-06-27;33,34
2014-06-30;33,30
2014-07-01;33,58
2014-07-02;33,66
2014-07-03;33,90
2014-07-04;33,90
2014-07-07;33,71
2014-07-08;33,40
2014-07-09;33,44
2014-07-10;33,35
2014-07-11;33,37
2014-07-15;33,54
2014-07-16;33,81
2014-07-17;33,66
2014-07-23;34,11
2014-07-28;34,00
2014-07-29;34,05
2014-07-31;33,60
2014-08-04;33,20
2014-08-05;33,35
2014-08-06;33,25
2014-08-07;33,08
2014-08-11;33,36
2014-08-12;33,25
2014-08-13;33,53
2014-08-15;33,44
2014-08-18;33,87
2014-08-20;34,20
2014-08-29;34,83
2014-09-22;35,33
2014-10-15;32,56
2014-10-16;32,68
2014-10-17;33,36
2014-10-20;33,29
2014-10-21;34,02
2014-10-22;34,44
2014-10-23;34,55
2014-10-24;34,51
2014-10-27;34,37
2014-10-30;35,10
2014-10-31;35,86
2014-11-03;35,92
2014-11-04;35,43
2014-11-05;35,86
2014-11-06;36,06
2014-11-11;36,28
2014-11-14;36,16
2014-11-24;36,77
2014-11-25;36,72
2014-11-26;36,68
2014-11-28;36,82
2014-12-05;37,20
2014-12-08;37,05
2014-12-18;36,36
2014-12-29;37,44
2015-01-02;37,28
2015-01-27;39,44
2015-01-28;39,57
2015-01-30;39,23
2015-02-02;39,25
2015-02-03;39,24
2015-02-04;39,72
2015-02-05;39,86
2015-02-09;39,96
2015-02-10;40,10
2015-02-19;40,84
2015-02-20;40,90
2015-02-23;41,16
2015-02-25;41,28
2015-02-27;41,79
2015-03-04;41,94
2015-03-17;43,22
2015-04-02;42,64
2015-04-08;43,31
2015-04-21;43,93
2015-04-24;43,933
2015-05-04;42,655
2015-05-14;42,115
2015-05-15;41,933
2015-05-18;42,31
2015-05-19;43,065
2015-05-20;43,218
2015-05-21;43,31
2015-05-22;43,48
2015-05-26;43,528
2015-05-27;43,77
2015-05-28;43,608
2015-05-29;43,058
2015-06-01;43,285
2015-06-02;42,59
2015-06-03;42,32
2015-06-04;41,918
2015-06-08;41,643
2015-06-09;41,383
2015-06-10;41,838
2015-06-12;41,803
2015-06-19;41,788
2015-06-23;42,728
2015-06-26;42,493
2015-07-02;41,898
2015-07-06;41,698
2015-07-07;41,415
2015-07-09;41,61
2015-07-13;42,545
2015-07-14;42,83
2015-07-20;43,778
2015-08-03;42,87
2015-08-04;42,78
2015-08-25;38,05
2015-08-26;37,205
2015-08-27;39,17
2015-08-28;39,485
2015-08-31;39,248
2015-09-01;38,17
2015-09-02;38,128
2015-09-03;39,285
2015-09-04;38,278
2015-09-07;38,395
2015-09-08;38,75
2015-09-09;39,253
2015-09-11;38,18
2015-09-14;38,233
2015-09-15;38,653
2015-09-17;39,123
2015-09-18;38,39
2015-09-21;38,93
2015-09-25;38,305
2015-09-29;36,91
2015-09-30;37,785
2015-10-07;39,12
2015-10-08;39,273
2015-10-09;39,383
2015-10-12;39,378
2015-10-13;39,245
2015-10-14;38,685
2015-10-15;39,113
2015-10-16;39,628
2015-10-19;39,74
2015-10-20;39,60
2015-10-21;39,65
2015-10-22;40,535
2015-10-23;41,423
2015-10-26;41,335
2015-10-27;41,043
2015-10-28;41,368
2015-10-29;41,685
2015-10-30;41,498
2015-11-02;41,553
2015-11-03;42,01
2015-11-04;42,23
2015-11-05;42,50
2015-11-06;42,413
2015-11-09;41,92
2015-11-10;42,238
2015-11-11;42,27
2015-11-12;41,765
2015-11-13;41,408
2015-11-16;41,41
2015-11-17;42,453
2015-11-18;42,48
2015-11-19;42,408
2015-11-20;42,908
2015-11-23;43,01
2015-11-24;42,643
2015-11-25;42,973
2015-11-26;43,203
2015-11-27;43,053
2015-11-30;43,103
2015-12-01;43,10
2015-12-03;41,57
2015-12-04;41,583
2015-12-07;41,61
2015-12-08;41,173
2015-12-09;40,848
2015-12-10;40,848
2015-12-11;39,983
2015-12-14;39,328
2015-12-15;40,533
2015-12-16;40,653
2015-12-17;41,173
2015-12-18;40,618
2015-12-21;40,053
2015-12-22;40,24
2015-12-23;41,233
2015-12-28;40,66
2015-12-29;41,515
2015-12-30;41,37
2016-01-04;40,278
2016-01-05;40,825
2016-01-06;40,328
2016-01-07;39,323
2016-01-08;38,465
2016-01-11;38,298
2016-01-12;38,518
2016-01-13;38,808
2016-01-14;38,095
2016-01-15;37,16
2016-01-18;37,345
2016-01-19;37,633
2016-01-20;36,378
2016-01-21;37,353
2016-01-22;38,073
2016-01-25;37,938
2016-01-26;37,998
2016-01-27;38,158
2016-01-28;37,495
2016-01-29;38,538
2016-02-01;38,595
2016-02-02;38,053
2016-02-03;37,048
2016-02-04;37,128
2016-02-05;36,753
2016-02-08;35,703
2016-02-09;35,235
2016-02-10;35,765
2016-02-11;34,438
2016-02-12;35,605
2016-02-15;36,535
2016-02-16;36,473
2016-02-17;37,343
2016-02-18;37,423
2016-02-19;37,20
2016-02-22;38,035
2016-02-23;37,593
2016-02-24;36,968
2016-02-25;37,63
2016-02-26;38,408
2016-02-29;38,673
2016-03-02;39,34
2016-03-03;39,118
2016-03-04;39,428
2016-03-07;39,40
2016-03-08;38,938
2016-03-09;39,128
2016-03-10;38,295
2016-03-11;39,10
2016-03-14;39,508
2016-03-15;39,173
2016-03-16;39,328
2016-03-17;39,115
2016-03-18;39,343
2016-03-21;39,37
2016-03-22;39,518
2016-03-23;39,473
2016-03-24;39,01
2016-03-29;39,148
2016-03-30;39,393
2016-03-31;39,10
2016-04-04;38,938
2016-04-05;38,375
2016-04-06;38,60
2016-04-07;38,453
2016-04-08;38,643
